Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
1965,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.009,,,,4095797,,,,
1970,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.024,,,,4398284,,,,
1975,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.646,,,,7428676,,,,
1980,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.517,,,,7159871,,,,
1985,High-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.405,,,,6897908,,,,
1990,High-income countries,,,,2116387,,,11205126,,,,,,,,,,,,,,,,34008977,,,,,76295202,,,,,1.707,,7156311,,8702303,,,,
1995,High-income countries,,,11601476,3206166,,,11996900,,,,,,,,,1668990,,,,,,,35677967,,,,,87896678,,,,,2.026,,7656626,,10710205,,,,
2000,High-income countries,,,13745037,3020738,,,13613107,,,,,,,,,2346518,,,,,,,38024485,,,,,101641715,,,,,2.545,,8652269,,13921107,,,,
2005,High-income countries,,,17384439,2883254,,,15713047,,,,,,,,,2857729,,,,,,,40882214,,,,,119026154,,,,,3.281,,9773029,,18568371,,,,
2010,High-income countries,,,23616595,2358667,,,17651242,,,,,,,,,4766982,,,,,,,45649196,,,,,142642749,,,,,3.965,,11279220,,23278467,,,,
2015,High-income countries,,,15873562,3380780,,,16814646,,,,,,,,,1707523,,,,,,,47356719,,,,,158516311,,,,,3.015,,10861854,,18325941,,,,
2020,High-income countries,,,23381445,6139080,,,20195609,,,,,,,,,5451300,,,,,,,52808019,,,,,181897756,,,,,2.602,,13196886,,16243037,,,,
1955,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.241,,,,-2001,,,,
1960,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.26,,,,-12002,,,,
1965,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.646,,,,-29002,,,,
1970,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.239,,,,-41000,,,,
1975,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.135,,,,-45999,,,,
1976,Honduras,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,Honduras,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,Honduras,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Honduras,,0.046,,,,,,,,,13640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.824
1980,Honduras,,0.04,,,,,,,,,20060,,,,,,,,,,,,,,,,,,,,,,-2.986,,,,-50999,,,,5.454
1981,Honduras,,0.04,,,,,,,,,24990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.589
1982,Honduras,,0.04,,,,,,,,,34804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
1983,Honduras,,0.04,,,,,,,,,41804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37
1984,Honduras,,0.038,,,,,,,,,49804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.987
1985,Honduras,,0.14,,,,,,,,,55970,,,,,,,,,,,,,,,,,,,,,,-3.116,,,,-61998,,,,13.074
1986,Honduras,,0.274,,,,,,,,,95460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.645
1987,Honduras,,0.445,,,,,,,,,133057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.294
1988,Honduras,,0.692,,,,,,,,,168477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.022
1989,Honduras,,1.04,,,,,,,,,175269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.403
1990,Honduras,,1.385,,237144,,,86926,,17.542,,182739,,,,,,,47.857,0.007,,37,,156379,,,,5.457,270423,,,,,-3.205,,53824,10.862,-73998,,,3.156,36.878
1991,Honduras,,1.502,,,,54,,,,,135332,,,,,,,,0.021,,107,,,,,,,,,,1.059,,,,,,,,,,26.543
1992,Honduras,,1.706,,,,57,,,,,87916,,,,,,,,0.066,,348,,,,,,,,,,1.091,,,,,,,,,,16.763
1993,Honduras,,1.915,,,,31,,,,,40508,,,,,,,,0.109,,588,,,,,,,,,,0.575,,,,,,,,,,7.509
1994,Honduras,,2.163,,,,19,,,,,20129,,,,,,,,0.151,,835,,,,,,,,,,0.346,,,,,,,,,,3.628
1995,Honduras,,2.372,-120981,118578,,10,47975,,8.403,-21.191,61,,,,,90196,,20.77,0.188,,1075,,246575,,,,2.618,149442,,,0.179,,-2.926,,29961,5.248,-77999,,15.799,4.319,0.011
1996,Honduras,,2.82,,,,8,,,,,50,,,,,,,,0.205,,1205,,,,,,,,,,0.143,,,,,,,,,,0.009
1997,Honduras,,3.46,,,,6,,,,,30,,,,,,,,0.195,,1176,,,,,,,,,,0.109,,,,,,,,,,0.005
1998,Honduras,,4.332,,,,,,,,,20,,,,,,,,0.179,,1113,,,,,,,,,,,,,,,,,,,,0.003
1999,Honduras,,5.342,,,,10,,,,,11,,,,,,,,0.159,,1018,,,,,,,,,,0.163,,,,,,,,,,0.002
2000,Honduras,,6.741,-120981,11,,,8300,,1.262,-18.402,15,,,,,95528,,0.002,0.138,,905,,342103,,,,0.433,28461,,,,,-2.117,,5622,0.855,-64998,,14.53,5.203,0.002
2001,Honduras,,8.161,,,,10,,,,,18,,,,,,,,0.119,,806,,,,,,,,,,0.151,,,,,,,,,,0.003
2002,Honduras,,9.803,,,,,,17.494,,,21,,,,17,,,,0.1,,690,,,,,1212,,,,0.245,,,,,,,,,,,0.003
2003,Honduras,,12.2,,,,13,,17.165,,,23,,,,,,,,0.087,,617,,,,,1219,,,,,0.186,,,,,,,,,,0.003
2004,Honduras,,14.937,,,,,,17.292,,,23,,,,19,,,,0.092,,667,,,,,1259,,,,0.261,,,,,,,,,,,0.003
2005,Honduras,,17.134,-527,72,,13,6371,15.335,0.854,-0.071,22,,,,22,106779,,0.01,0.105,,780,,448882,,,1143,0.375,27934,,0.3,0.177,,-1.197,,4043,0.542,-41999,,14.315,6.018,0.003
2006,Honduras,,19.099,,,,,,14.299,,,22,,,,,,,,0.116,,882,,,,,1091,,,,,,,,,,,,,,,0.003
2007,Honduras,,19.854,,,,,,13.293,,,21,,,,24,,,,0.13,,1018,,,,,1038,,,,0.31,,,,,,,,,,,0.003
2008,Honduras,,19.45,,,,,,11.979,,,19,,,,,,,,0.147,,1171,,,,,956,,,,,,,,,,,,,,,0.002
2009,Honduras,,18.295,,,,,,10.48,,,18,,,,,,,,0.167,,1357,,,,,854,,,,,,,,,,,,,,,0.002
2010,Honduras,,17.211,-646,14,,38,8270,10.59,0.994,-0.078,17,,,19011,,138621,,0.002,0.196,,1632,,587503,,,880,0.328,27288,,,0.466,0.229,-0.634,,6525,0.784,-25000,,16.666,7.063,0.002
2011,Honduras,,16.492,,,,44,,20.647,,,15,,,5363,,,,,0.244,,2069,,,,,1751,,,,,0.521,0.063,,,,,,,,,0.002
2012,Honduras,,16.507,,,,,,41.418,,,17,,,,,,,,0.309,,2667,,,,,3578,,,,,,,,,,,,,,,0.002
2013,Honduras,,16.697,,,,,,83.048,,,20,,,,22,,,,0.429,,3776,,,,,7307,,,,0.25,,,,5.435,,,,,,,0.002
2014,Honduras,,17.085,,,,,,158.306,,,20,,,5091,14,,,,0.612,,5484,,,,,14177,,,,0.161,,0.057,,5.564,,,,,,,0.002
2015,Honduras,,17.673,11042,39,,,13449,285.011,1.476,1.212,23,,,6987,13,142352,,0.004,0.861,,7847,,729855,,,25972,0.421,38330,,0.147,,0.077,-0.688,4.862,10976,1.204,-30000,,15.621,8.009,0.003
2016,Honduras,,18.298,,,,59,,433.831,,,25,,,4652,20,,,,1.182,,10958,,,,1.668,40219,,,154671,0.216,0.639,0.05,,4.71,,,,,,,0.003
2017,Honduras,,19.198,,,,79,,665.972,,,34,,,,39,,,,1.633,,15397,,,,2.102,62794,,,198218,0.414,0.844,,,4.37,,,,,,,0.004
2018,Honduras,,20.403,,,,110,,925.061,,,46,,,191609,60,,,,2.182,,20919,,,,2.22,88690,,,212836,0.628,1.147,1.999,,4.437,,,,,,,0.005
2019,Honduras,,,,,,85,,1185.432,,,67,,,,70,,,,2.794,,27234,,,,,115533,,,,0.72,0.876,,,,,,,,,,0.007
2020,Honduras,,,865,186,13000,,13854,,1.399,0.087,,,,,,255222,,0.019,,1.313,,,985077,,,,0.396,39195,,,,,-0.715,,11108,1.121,-34000,,25.768,9.946,
1955,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.425,,,,149239,,,,
1960,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.884,,,,163967,,,,
1964,Hong Kong,,,,,,,,,,,734648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.738
1965,Hong Kong,,,,,,,,,,,728848,,,,,,,,,,,,,,,,,,,,,,-1.682,,,,-27385,,,,210.211
1966,Hong Kong,,,,,,,,,,,724648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.365
1970,Hong Kong,,,,,,,,,,,500658,,,,,,,,,,,,,,,,,,,,,,3.914,,,,71590,,,,130.077
1971,Hong Kong,,,,,,,,,,,263100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.227
1972,Hong Kong,,,,,,,,,,,24232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.097
1975,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.672,,,,73970,,,,
1978,Hong Kong,,,,,,,,,,,28846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.261
1979,Hong Kong,,,,,,,,,,,31354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.607
1980,Hong Kong,,,,,,,,,,,33868,,,,,,,,,,,,,,,,,,,,,,17.206,,,,390487,,,,6.956
1981,Hong Kong,,,,,,,,,,,23740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.775
1982,Hong Kong,,,,,,,,,,,14992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.964
1983,Hong Kong,,,,,,,,,,,12058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.349
1984,Hong Kong,,,,,,,,,,,10950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.103
1985,Hong Kong,,,,,,,,,,,10332,,,,,,,,,,,,,,,,,,,,,,6.326,,,,160605,,,,1.954
1986,Hong Kong,,,,,,,,,,,10849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.019
1987,Hong Kong,,,,,,,,,,,10862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.988
1988,Hong Kong,,,,,,,,,,,10614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91
1989,Hong Kong,,,,,,,,,,,9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753
1990,Hong Kong,,,,10092,,,175934,,30.715,,8512,,,,,,,1.762,,,,,549125,,,,38.731,2218473,,,,,8.035,,100370,17.523,221262,,,9.587,1.486
1991,Hong Kong,,,,,,,,,,,5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002
1992,Hong Kong,,,,,,51,,,,,3744,,,,,,,,,,,,,,,,,,,,0.876,,,,,,,,,,0.639
1993,Hong Kong,,,,,,40,,,,,2408,,,,,,,,,,,,,,,,,,,,0.681,,,,,,,,,,0.406
1994,Hong Kong,,,,,,20,,,,,1795,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,0.299
1995,Hong Kong,,,225325,5536,,,206168,,33.886,37.034,1519,,,,,68112,,0.91,,,,,617237,,,,40.166,2443798,,,,,5.299,,137154,22.543,156486,,11.195,10.145,0.25
1996,Hong Kong,,,,,,,,,,,1357,,,,,,,,0.021,,129,,,,,,,,,,,,,,,,,,,,0.219
1997,Hong Kong,,,,,,,,,,,1212,,,,,,,,0.013,,81,,,,,,,,,,,,,,,,,,,,0.192
1998,Hong Kong,,,,,,,,,,,1112,,,,,,,,0.007,,43,,,,,,,,,,,,,,,,,,,,0.173
1999,Hong Kong,,,,,,,,,,,1121,,,,,,,,0.004,,23,,,,,,,,,,,,,,,,,,,,0.172
2000,Hong Kong,,0.082,225324,979,,,262067,,39.669,34.107,1174,,,,,68676,,0.148,0.002,,15,,685913,,,,40.403,2669122,,,,,11.841,,180697,27.352,375683,,10.395,10.383,0.178
2001,Hong Kong,,0.079,,,,,,,,,1346,,,,,,,,0.001,,9,,,,,,,,,,,,,,,,,,,,0.202
2002,Hong Kong,,0.092,,,,,,0.221,,,1525,,,,301,,,,,,,,,,,14,,,,4.491,,,,,,,,,,,0.228
2003,Hong Kong,,0.108,,,,,,0.253,,,1714,,,,508,,,,0.001,,7,,,,,17,,,,7.56,,,,,,,,,,,0.255
2004,Hong Kong,,0.121,,,,,,0.252,,,1822,,,,893,,,,0.001,,7,,,,,17,,,,13.24,,,,,,,,,,,0.27
2005,Hong Kong,,0.136,52113,3031,,,256790,0.275,37.933,7.698,1542,,,,1237,66563,,0.448,,,,,752476,,,18,40.198,2721235,,18.273,,,1.938,,148810,21.982,64797,,9.833,11.116,0.228
2006,Hong Kong,,0.154,,,,,,0.356,,,1180,,,,1418,,,,0.001,,8,,,,,24,,,,20.858,,,,,,,,,,,0.174
2007,Hong Kong,,0.158,,,,,,0.518,,,822,,,,1441,,,,0.001,,9,,,,,35,,,,21.076,,,,,,,,,,,0.12
2008,Hong Kong,,0.155,,,,,,0.695,,,467,,,,1316,,,,0.002,,11,,,,,47,,,,19.126,,,,,,,,,,,0.068
2009,Hong Kong,,0.153,,,,,,0.653,,,110,,,,954,,,,0.002,,12,,,,,45,,,,13.786,,,,,,,,,,,0.016
2010,Hong Kong,,0.151,58715,640,,,203981,0.761,29.281,8.428,113,,,702,736,109594,,0.092,0.002,,14,,862070,,,53,39.906,2779950,,10.565,,0.01,2.614,,106753,15.324,89747,,15.732,12.375,0.016
2011,Hong Kong,,0.145,,,,,,0.765,,,118,,,,888,,,,0.002,,16,,,,,53,,,,12.674,,,,,,,,,,,0.017
2012,Hong Kong,,0.138,,,,,,0.681,,,134,,,,1178,,,,0.003,,19,,,,,48,,,,16.728,,,,,,,,,,,0.019
2013,Hong Kong,,0.133,,,,,,0.674,,,126,,,,1548,,,,0.003,,22,,,,,47,,,,21.84,,,,,,,,,,,0.018
2014,Hong Kong,,0.13,,,,,,0.97,,,115,,,,1434,,,,0.003,,23,,,,,69,,,,20.105,,,,,,,,,,,0.016
2015,Hong Kong,,0.127,61163,2448,,,152725,1.074,21.253,8.511,111,,,,,95219,,0.341,0.003,,21,,957289,,,77,39.537,2841113,,,,,2.117,,74470,10.363,74892,,13.251,13.322,0.016
2016,Hong Kong,,0.125,,,,,,0.983,,,114,,,982,,,,,0.003,,19,,,,,71,,,,,,0.014,,,,,,,,,0.016
2017,Hong Kong,,0.124,,,,,,1.478,,,108,,,1023,,,,,0.002,,15,,,,,108,,,,,,0.014,,,,,,,,,0.015
2018,Hong Kong,,0.123,,,,,,2.569,,,134,,,1055,,,,,0.002,,11,,,,,189,,,,,,0.014,,,,,,,,,0.018
2019,Hong Kong,,,,,,,,3.938,,,169,,,,,,,,0.002,,13,,,,,292,,,,,,,,,,,,,,,0.023
2020,Hong Kong,,,121379,130,149000,,183852,,24.523,16.19,,,,,,50499,,0.017,,19.875,,,1007788,,,,39.516,2962492,,,,,3.992,,108938,14.531,146542,,6.736,13.443,
1955,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517,,,,24754,,,,
1960,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.516,,,,-174316,,,,
1961,Hungary,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,3.188,,,,,,,,,,
1962,Hungary,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,
1963,Hungary,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,2.444,,,,,,,,,,
1964,Hungary,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,2.513,,,,,,,,,,
1965,Hungary,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,2.295,,0.431,,,,21715,,,,
1966,Hungary,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,2.627,,,,,,,,,,
1967,Hungary,,,,,,269,,,,,,,,,,,,,0.321,,3288,,,,,,,,,,2.631,,,,,,,,,,
1968,Hungary,,,,,,252,,,,,,,,,,,,,0.324,,3332,,,,,,,,,,2.451,,,,,,,,,,
1969,Hungary,,,,,,218,,,,,,,,,,,,,0.264,,2722,,,,,,,,,,2.112,,,,,,,,,,
1970,Hungary,,,,,,218,,,,,,,,,,,,,0.204,,2110,,,,,,,,,,2.103,,0.306,,,,15731,,,,
1971,Hungary,,,,,,161,,,,,,,,,,,,,0.143,,1490,,,,,,,,,,1.556,,,,,,,,,,
1972,Hungary,,,,,,118,,,,,,,,,,,,,0.081,,848,,,,,,,,,,1.139,,,,,,,,,,
1973,Hungary,,,,,,72,,,,,,,,,,,,,0.017,,178,,,,,,,,,,0.696,,,,,,,,,,
1974,Hungary,,,,,,44,,,,,,,,,,,,,0.014,,144,,,,,,,,,,0.42,,,,,,,,,,
1975,Hungary,,,,,,49,,,,,,,,,,,,,0.012,,126,,,,,,,,,,0.465,,-0.468,,,,-24419,,,,
1976,Hungary,,,,,,56,,,,,,,,,,,,,0.023,,244,,,,,,,,,,0.535,,,,,,,,,,
1977,Hungary,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,0.825,,,,,,,,,,
1978,Hungary,,,,,,140,,,,,,,,,,,,,0.034,,363,,,,,,,,,,1.311,,,,,,,,,,
1979,Hungary,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,1.865,,,,,,,,,,
1980,Hungary,,,,,,328,,,,,,,,,,,,,0.045,,481,,,,,,,,,,3.054,,0.245,,,,13040,,,,
1981,Hungary,,,,,,521,,,,,,,,,,,,,0.055,,592,,,,,,,,,,4.854,,,,,,,,,,
1982,Hungary,,,,,,647,,,,,,,,,,,,,0.061,,654,,,,,,,,,,6.038,,,,,,,,,,
1983,Hungary,,,,,,795,,,,,,,,,,,,,0.055,,588,,,,,,,,,,7.453,,,,,,,,,,
1984,Hungary,,,,,,985,,,,,,,,,,,,,0.049,,516,,,,,,,,,,9.278,,,,,,,,,,
1985,Hungary,,,,,,971,,,,,,,,,,,,,0.041,,436,,,,,,,,,,9.19,,-2.173,,,,-115800,,,,
1986,Hungary,,,,,,923,,,,,,,,,,,,,0.104,,1092,,,,,,,,,,8.776,,,,,,,,,,
1987,Hungary,,,,,,974,,,,,,,,,,,,,0.179,,1878,,,,,,,,,,9.304,,,,,,,,,,
1988,Hungary,,,,,,923,,,,,,,,,,,,,0.282,,2944,,,,,,,,,,8.849,,,,,,,,,,
1989,Hungary,,,,,,726,,,,,,,,,,,,,0.367,,3815,,,,,,,,,,6.982,,,,,,,,,,
1990,Hungary,,,,45123,,631,61116,,5.889,,,,,,,,,4.348,0.438,,4548,,391583,,,,3.349,347510,,,6.088,,-1.749,,39753,3.831,-91554,,,3.774,
1991,Hungary,,,,,,494,,,,,36278,,,,,,,,0.461,,4773,,,,,,,,,,4.767,,,,,,,,,,3.501
1992,Hungary,,,,,,283,,,,,31459,,,,,,,,0.463,,4795,,,,,,,,,,2.734,,,,,,,,,,3.037
1993,Hungary,,,,,,128,,,,,24713,,,,,,,,0.397,,4111,,,,,,,,,,1.239,,,,,,,,,,2.386
1994,Hungary,,,,,,65,,,,,11453,,,,,,,,0.365,,3781,,,,,,,,,,0.631,,,,,,,,,,1.106
1995,Hungary,,,-25276,11394,,27,45464,,4.393,-2.442,6148,,,,,12558,,1.101,0.34,,3516,,404141,,,,3.114,322234,,,0.269,,1.93,,28672,2.77,99980,,1.213,3.905,0.594
1996,Hungary,,,,,,9,,,,,6245,,,,,,,,0.267,,2762,,,,,,,,,,0.095,,,,,,,,,,0.604
1997,Hungary,,0.363,,,,6,,,,,6661,,,,,,,,0.197,,2028,,,,,,,,,,0.064,,,,,,,,,,0.646
1998,Hungary,,0.456,,,,,,,,,5392,,,,,,,,0.162,,1660,,,,,,,,,,,,,,,,,,,,0.525
1999,Hungary,,0.525,,,,,,,,,4825,,,,,,,,0.12,,1234,,,,,,,,,,,,,,,,,,,,0.471
2000,Hungary,,0.574,-25277,6698,,,29737,,2.91,-2.473,4862,,,,,16818,,0.655,0.137,,1403,,420959,,,,2.906,296957,,,,,1.528,,17535,1.716,78562,,1.646,4.119,0.476
2001,Hungary,,0.605,,,,,,,,,5564,,,,,,,,0.18,,1833,,,,,,,,,,,,,,,,,,,,0.546
2002,Hungary,,0.652,,,,,,21.308,,,6108,,,,1232,,,,0.219,,2223,,,,,2166,,,,12.119,,,,,,,,,,,0.601
2003,Hungary,,0.627,,,,,,18,,,6706,,,,1039,,,,0.278,,2824,,,,,1825,,,,10.253,,,,,,,,,,,0.661
2004,Hungary,,0.64,,,,,,10.233,,,7379,,,,665,,,,0.322,,3258,,,,,1035,,,,6.575,,,,,,,,,,,0.73
2005,Hungary,,0.648,69830,8730,,,37780,4.253,3.746,6.923,7789,,,,767,45571,,0.866,0.32,,3231,,466530,,,429,3.637,366787,,7.605,,,1.213,,23577,2.338,61589,,4.518,4.626,0.772
2006,Hungary,,0.704,,,,,,2.838,,,7934,,,,1118,,,,0.286,,2875,,,,,285,,,,11.12,,,,,,,,,,,0.789
2007,Hungary,,0.823,,,,,,6.548,,,7602,,,,1178,,,,0.263,,2633,,,,,656,,,,11.756,,,,,,,,,,,0.758
2008,Hungary,,0.973,,,,,,13.163,,,7074,,,,1116,,,,0.222,,2216,,,,,1315,,,,11.171,,,,,,,,,,,0.708
2009,Hungary,,1.15,,,,,,24.865,,,6478,,,,1085,,,,0.185,,1840,,,,,2476,,,,10.9,,,,,,,,,,,0.65
2010,Hungary,,1.499,69829,5781,,,45788,32.282,4.612,7.034,5660,,,,851,44669,,0.582,0.139,,1380,,511199,,,3204,4.398,436616,,8.572,,,0.503,,29553,2.977,25150,,4.5,5.149,0.57
2011,Hungary,,1.946,,,,,,35.759,,,4596,,,,723,,,,0.132,,1301,,,,,3538,,,,7.31,,,,,,,,,,,0.464
2012,Hungary,,2.302,,,,,,31.584,,,3959,,,,3728,,,,0.126,,1247,,,,,3115,,,,37.793,,,,,,,,,,,0.401
2013,Hungary,,2.654,,,,,,25.896,,,3755,,,328,10991,,,,0.127,,1249,,,,,2546,,,,111.77,,0.003,,,,,,,,,0.382
2014,Hungary,,2.977,,,,,,17.11,,,3685,,,328,11598,,,,0.162,,1584,,,,,1677,,,,118.293,,0.003,,8.284,,,,,,,0.376
2015,Hungary,,3.065,38892,41086,,,57225,12.913,5.852,3.978,4013,,,,11654,89688,,4.202,0.208,,2034,,600887,,,1262,4.863,475508,,119.193,,,0.609,7.906,41314,4.225,29999,,9.172,6.145,0.41
2016,Hungary,,3.001,,,,,,10.583,,,4732,,,,11303,,,,0.264,,2576,,,,,1032,,,,115.897,,,,6.983,,,,,,,0.485
2017,Hungary,,3.012,,,,,,11.314,,,5311,,,351,8215,,,,0.321,,3125,,,,,1100,,,,84.431,,0.004,,7.538,,,,,,,0.546
2018,Hungary,,2.871,,,,,,11.132,,,5602,,,103,888,,,,0.387,,3759,,,,,1080,,,,9.152,,0.001,,7.959,,,,,,,0.577
2019,Hungary,,,,,,,,9.279,,,5802,,,,211,,,,0.428,,4140,,,,,898,,,,2.183,,,,,,,,,,,0.599
2020,Hungary,,,109059,6006,74000,,84828,,8.781,11.289,,,,,,113533,,0.622,,7.66,,,714420,,,,6.051,584567,,,,,0.617,,64045,6.63,29999,,11.752,7.395,
1983,IBRD only,,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,IBRD only,,1.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,IBRD only,,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,IBRD only,,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,IBRD only,,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,IBRD only,,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,IBRD only,,0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,IBRD only,,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,IBRD only,,1.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,IBRD only,,1.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,IBRD only,,1.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,IBRD only,,1.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,IBRD only,,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,IBRD only,,0.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,IBRD only,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,IBRD only,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,IBRD only,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,IBRD only,,1.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,IBRD only,,1.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,IBRD only,,1.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,IBRD only,,1.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,IBRD only,,1.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,IBRD only,,1.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,IBRD only,,1.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,IBRD only,,1.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,IBRD only,,1.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,IBRD only,,1.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,IBRD only,,1.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,IBRD only,,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
